gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ftype,gene_name,product_name,product_short,plot_label,COG,EC_number,expression_change
E745S_01235,5201.37121962759,1.37947582769351,0.0598412213056133,23.0522672765723,1.39586469942329e-117,9.3842081755686e-117,gene,,,,E745S_01235,,,Up in Serum
E745S_00059,904.938297291444,1.95394156545451,0.0847817315898361,23.0467286856967,1.5863173751994e-117,1.06400227631462e-116,gene,,,,E745S_00059,,,Up in Serum
E745S_02557,13950.723804876,1.18499270385866,0.0515120818180926,23.0041703234454,4.23414765575001e-117,2.83347214388236e-116,gene,ponA_2,,,ponA_2,,,Up in Serum
E745S_02416,4593.77295639887,1.5307229584575,0.0668051953656322,22.9132322730244,3.42932190484336e-116,2.28962295068785e-115,gene,,,,E745S_02416,,,Up in Serum
E745S_01860,1791.39827988268,1.63156102310411,0.0714306570783921,22.8411873814004,1.78800564996221e-115,1.18562288087472e-114,gene,argR_2,,,argR_2,,,Up in Serum
E745S_02935,1139.25318451666,1.7142736232725,0.0757853605233527,22.620115698259,2.74758554126782e-113,1.80955237797073e-112,gene,,,,E745S_02935,,,Up in Serum
E745S_00043,797.515596987804,1.91493479122035,0.0848225485269475,22.5757752446213,7.49832925716296e-113,4.90508684665199e-112,gene,,,,E745S_00043,,,Up in Serum
E745S_01735,738.554306432486,2.09794308850929,0.0932947086975838,22.4872676896372,5.53016613709971e-112,3.58537051783903e-111,gene,,,,E745S_01735,,,Up in Serum
E745S_02668,4376.25011785827,1.39145915268161,0.0618782899066858,22.4870330899572,5.55947527046764e-112,3.59636278051807e-111,gene,phoR_2,,,phoR_2,,,Up in Serum
E745S_00981,274.914058630062,4.98765527290313,0.222364308530311,22.4301071780288,2.00154218741104e-111,1.29190450278349e-110,gene,,,,E745S_00981,,,Up in Serum
E745S_02568,571.283146064898,2.24179667627653,0.100099268664583,22.3957348158901,4.33113903678752e-111,2.78936852568329e-110,gene,licH,,,licH,,,Up in Serum
E745S_00648,357.301117888748,3.06285609152122,0.137315231964394,22.3052901539387,3.28300981996123e-110,2.09579859340069e-109,gene,,,,E745S_00648,,,Up in Serum
E745S_01803,318.070921312165,3.83158363244597,0.172660996724678,22.1913675070216,4.16145210693809e-109,2.63921287217795e-108,gene,rbsD,,,rbsD,,,Up in Serum
E745S_00616,270.275496663415,3.66349871201969,0.166843859748326,21.9576478124269,7.3190894226646e-107,4.60169963485457e-106,gene,dcuS_2,,,dcuS_2,,,Up in Serum
E745S_01734,1035.87224740086,1.76008405841543,0.080481324485737,21.8694718266888,5.07414377930885e-106,3.1833690822345e-105,gene,npr_1,,,npr_1,,,Up in Serum
E745S_02850,800.260666823217,1.93953885931536,0.0886883376876737,21.8691533733067,5.10967936262611e-106,3.19876916658163e-105,gene,,,,E745S_02850,,,Up in Serum
E745S_00643,5336.79552894115,1.50333490817688,0.0687643428355685,21.8621286292476,5.95992040105737e-106,3.72303182134721e-105,gene,,,,E745S_00643,,,Up in Serum
E745S_02417,8290.33032100554,1.53742410155427,0.0709869491935871,21.6578416035543,5.12698926931313e-104,3.14866366307395e-103,gene,yrrK,,,yrrK,,,Up in Serum
E745S_01540,1320.29899731954,1.85086378260007,0.0855121259265989,21.6444599235995,6.85420833686075e-104,4.20054746707403e-103,gene,yueI,,,yueI,,,Up in Serum
E745S_00953,243.316864563419,4.39305312739087,0.203931103987481,21.5418493868427,6.31352874138802e-103,3.84491258706706e-102,gene,,,,E745S_00953,,,Up in Serum
E745S_01561,1885.01558467289,1.51862420464977,0.0707073841848834,21.4775899597547,2.52259114595632e-102,1.5330402559246e-101,gene,queT_2,,,queT_2,,,Up in Serum
E745S_01410,23667.4886661442,1.19940460700412,0.0560848298557155,21.3855441852944,1.82150498902105e-101,1.10008319980089e-100,gene,guaB,,,guaB,,,Up in Serum
